county,county_code,state,pop_total,pct_aian,pct_asian,pct_black,pct_nonwhite,pct_white,pm_24hr
Ashley County,5003,Arkansas,21853,0.00320322152564865,0.00183041230037066,0.258088134352263,0.307051663387178,0.692948336612822,18
Crittenden County,5035,Arkansas,50902,0.00265215512160622,0.00591332364150721,0.511787356096028,0.539389414954226,0.460610585045774,17
Garland County,5051,Arkansas,96024,0.00611305506956594,0.00723777388986087,0.0793030908939432,0.136007664750479,0.863992335249521,19
Jackson County,5067,Arkansas,17997,0.00505639828860366,0.00294493526698894,0.166694449074846,0.201922542645997,0.798077457354004,22
Polk County,5113,Arkansas,20662,0.0176168812312458,0.00454941438389314,0.00314587164843674,0.0734682024973381,0.926531797502662,21
Pulaski County,5119,Arkansas,382748,0.00406272534409063,0.0196082017410934,0.349728803285713,0.425076029136664,0.574923970863336,24
Union County,5139,Arkansas,41639,0.00343428036216047,0.0049713009438267,0.329522803141286,0.36895698743966,0.63104301256034,22
Washington County,5143,Arkansas,203065,0.0117844040085687,0.0217467313421811,0.0295767365129392,0.200979981779233,0.799020018220767,16
Alameda County,6001,California,1510271,0.00648823952787281,0.261251126453464,0.126103858181744,0.570195017980217,0.429804982019783,65
Butte County,6007,California,220000,0.0199772727272727,0.0411681818181818,0.0155227272727273,0.181381818181818,0.818618181818182,92
Calaveras County,6009,California,45578,0.0151169423844837,0.0125279740225547,0.00840317697134583,0.110930712185704,0.889069287814296,97
Colusa County,6011,California,21419,0.0195620710584061,0.013119193239647,0.00910406648302909,0.353191092021103,0.646808907978897,104
Contra Costa County,6013,California,1049025,0.00583589523605253,0.144390267152832,0.092620290269536,0.414206525106647,0.585793474893353,66
Fresno County,6019,California,930450,0.0168187436186791,0.0960363265086786,0.0532247837068085,0.446348541028535,0.553651458971465,124
Imperial County,6025,California,174528,0.0175272735606894,0.0162896497983132,0.0330777869453612,0.412398010634397,0.587601989365603,34
Inyo County,6027,California,18546,0.114364283403429,0.0131025558071821,0.005877278119271,0.259085517092635,0.740914482907366,308
Kern County,6029,California,839631,0.0150971081344067,0.041501564377685,0.0582648806439972,0.404779004110139,0.595220995889861,81
Kings County,6031,California,152982,0.016747068282543,0.0367363480670929,0.0719953981514165,0.457276019400975,0.542723980599025,87
