state,county,gisjoin,pop_enslaved_1860,pop_total_1860,pop_total_2010,pop_black_2010,pop_white_2010,income_black_2010,income_white_2010,pct_pop_enslaved_1860,had_rosenwald_school,was_confederate
Texas,Trinity,G4804550,959,4392,14585,1378,12302,17105,39690,21.8351548269581,1,1
Texas,Tyler,G4804570,1148,4525,21766,2390,17930,25735,36672,25.3701657458564,1,1
Texas,Upshur,G4804590,3794,10645,39309,3416,33466,24030,45673,35.6411460779709,1,1
Texas,Uvalde,G4804630,27,506,26405,170,20631,4500,36265,5.33596837944664,0,1
Texas,Van Zandt,G4804670,322,3777,52579,1427,47784,19718,43817,8.52528461742123,1,1
Texas,Victoria,G4804690,1413,4171,86793,5513,69013,32970,52465,33.8767681611124,0,1
Texas,Walker,G4804710,4135,8191,67861,15257,45511,19512,40276,50.4822366011476,1,1
Texas,Washington,G4804770,7941,15215,33718,5947,25008,20729,49248,52.1919158724943,1,1
Texas,Webb,G4804790,0,1397,250304,1132,220201,31250,37001,0,0,1
Texas,Wharton,G4804810,2734,3380,41280,5817,29793,20489,45840,80.887573964497,1,1
Texas,Williamson,G4804910,891,4529,422679,26196,330191,54500,69982,19.6732170457055,1,1
Texas,Wise,G4804970,128,3160,59127,627,52448,49500,56300,4.05063291139241,0,1
Texas,Wood,G4804990,1005,4968,41964,1972,37213,38986,41788,20.2294685990338,1,1
Texas,Young,G4805030,92,592,18550,232,16748,28603,38984,15.5405405405405,0,1
Virginia,Accomack,G5100010,4507,18586,33164,9303,21662,28312,44544,24.2494350586463,1,1
Virginia,Albemarle,G5100030,13916,26625,98970,9600,79738,38526,71532,52.2666666666667,1,1
Virginia,Alleghany,G5100050,990,6765,16250,761,15145,27853,44245,14.6341463414634,0,1
Virginia,Amelia,G5100070,7655,10741,12690,2932,9332,38750,55303,71.2689693697049,1,1
Virginia,Amherst,G5100090,6278,13742,32353,6148,24829,31275,49315,45.6847620433707,1,1
Virginia,Appomattox,G5100110,4600,8889,14973,3007,11597,41613,50582,51.7493531330858,1,1
Virginia,Augusta,G5100150,5616,27749,73750,2930,68848,40833,51101,20.2385671555732,1,1
Virginia,Bath,G5100170,946,3676,4731,222,4432,41757,50749,25.734494015234,1,1
Virginia,Bedford,G5100190,10176,25068,68676,3942,62775,35250,56388,40.5935854475826,1,1
Virginia,Botetourt,G5100230,2769,11516,33148,1005,31469,34500,65426,24.0448072247308,1,1
Virginia,Brunswick,G5100250,9146,14809,17434,9992,7048,25391,50736,61.7597406982241,1,1
Virginia,Buchanan,G5100270,30,2793,24098,616,23271,2499,29130,1.07411385606874,0,1
Virginia,Buckingham,G5100290,8811,15212,17146,6014,10644,29428,43424,57.9213778595845,1,1
Virginia,Campbell,G5100310,11580,26197,54842,7767,45024,32654,45117,44.2035347558881,1,1
Virginia,Caroline,G5100330,10672,18464,28545,8375,18649,45929,60285,57.7989601386482,1,1
Virginia,Carroll,G5100350,262,8012,30042,178,29168,11298,36566,3.27009485771343,1,1
Virginia,Charles City,G5100360,2947,5609,7256,3513,2970,41038,54978,52.5405598145837,1,1
Virginia,Charlotte,G5100370,9238,14471,12586,3751,8467,26111,42705,63.8380208693249,1,1
Virginia,Chesterfield,G5100410,8354,19016,316236,69412,215954,59676,74894,43.931426167438,1,1
Virginia,Clarke,G5100430,3375,7146,14034,746,12662,42361,75601,47.2292191435768,1,1
Virginia,Culpeper,G5100470,6675,12063,46689,7368,35058,42500,67146,55.3344939069883,1,1
Virginia,Cumberland,G5100490,6705,9961,10052,3278,6427,23092,46477,67.3125188234113,1,1
Virginia,Dinwiddie,G5100530,12774,30198,28001,9204,17899,44193,55713,42.300814623485,1,1
Virginia,Essex,G5100570,6696,10469,11151,4247,6370,41750,49088,63.9602636354953,1,1
Virginia,Fairfax,G5100590,3116,11834,1081726,99218,677990,75072,116537,26.3309109345952,1,1
Virginia,Fauquier,G5100610,10455,21706,65203,5321,55607,49600,87295,48.1664056021377,1,1
Virginia,Floyd,G5100630,475,8236,15279,280,14660,13725,43674,5.7673627974745,1,1
Virginia,Fluvanna,G5100650,4994,10353,25691,3938,20743,47721,70890,48.2372259248527,1,1
Virginia,Franklin,G5100670,6351,20098,56159,4575,49699,31334,47435,31.6001592198229,1,1
Virginia,Frederick,G5100690,2259,16546,78305,3175,69934,53750,62296,13.6528466094524,1,1
Virginia,Giles,G5100710,778,6883,17286,261,16723,44563,41383,11.3032108092402,0,1
Virginia,Gloucester,G5100730,5736,10956,36858,3197,32149,37941,60028,52.354874041621,1,1
Virginia,Goochland,G5100750,6139,10656,21717,4180,16820,36929,93310,57.6107357357357,1,1
Virginia,Grayson,G5100770,547,8252,15533,320,14802,35380,32148,6.62869607367911,1,1
Virginia,Greene,G5100790,1984,5022,18403,1167,16123,35341,55846,39.5061728395062,0,1
Virginia,Greensville,G5100810,4167,6374,12243,7321,4718,37580,45722,65.3749607781613,1,1
Virginia,Halifax,G5100830,14897,26520,36241,13293,22011,23730,38579,56.1726998491704,1,1
Virginia,Hanover,G5100850,9483,17222,99863,9304,86550,59775,78377,55.0632911392405,1,1
Virginia,Henrico,G5100870,20041,61616,306935,90669,181719,46636,66693,32.5256426902103,1,1
Virginia,Henry,G5100890,5018,12105,54151,11841,39487,29449,35660,41.4539446509707,1,1
Virginia,Isle of Wight,G5100930,3570,9977,35270,8712,25318,38131,70881,35.7822992883632,0,1
Virginia,James City,G5100950,2586,5798,67009,8805,53792,44739,79638,44.6015867540531,1,1
Virginia,King George,G5100990,3673,6571,23584,4214,18089,58294,82335,55.8971237254604,1,1
Virginia,King William,G5101010,5525,8530,15935,2819,12297,45320,73244,64.7713950762017,1,1
Virginia,King and Queen,G5100970,6139,10328,6945,1975,4663,38953,47466,59.4403563129357,0,1
Virginia,Lancaster,G5101030,2869,5151,11391,3184,7989,32714,54667,55.6979227334498,1,1
Virginia,Lee,G5101050,824,11032,25587,947,24092,10893,31446,7.46918056562727,0,1
Virginia,Loudoun,G5101070,5501,21774,312311,22710,214471,88321,120513,25.26407642142,0,1
Virginia,Louisa,G5101090,10194,16701,33153,5870,25996,35008,60835,61.0382611819652,1,1
Virginia,Lunenburg,G5101110,7305,11983,12914,4487,7856,34909,37983,60.9613619294,1,1
Virginia,Madison,G5101130,4397,8854,13308,1302,11543,41077,59682,49.6611700926135,0,1
Virginia,Mathews,G5101150,3008,7091,8978,823,7898,23419,53969,42.4199689747567,1,1
Virginia,Mecklenburg,G5101170,12420,20096,32727,12050,19619,24241,43001,61.8033439490446,1,1
Virginia,Middlesex,G5101190,2375,4364,10959,1978,8680,32893,54385,54.4225481209899,1,1
Virginia,Montgomery,G5101210,2219,10617,94392,3716,82643,31646,45248,20.9004426862579,1,1
Virginia,Nelson,G5101250,6238,13015,15020,1967,12509,38445,50667,47.9293123319247,0,1
Virginia,New Kent,G5101270,3374,5884,18429,2484,15057,49563,74225,57.3419442556084,1,1
Virginia,Northampton,G5101310,3872,7832,12389,4528,7168,20188,50508,49.438202247191,1,1
Virginia,Northumberland,G5101330,3439,7531,12330,3123,8801,28178,59464,45.6645863763113,1,1
Virginia,Nottoway,G5101350,6468,8836,15853,6227,8968,33542,40717,73.2005432322318,1,1
Virginia,Orange,G5101370,6111,10851,33481,4256,27584,31417,58198,56.3173901022947,1,1
Virginia,Page,G5101390,850,8109,24042,466,23063,42857,41785,10.482180293501,1,1
Virginia,Patrick,G5101410,2070,9359,18490,1085,16847,39413,35413,22.1177476226093,0,1
Virginia,Pittsylvania,G5101430,14340,32104,63506,14018,47918,29165,41833,44.6673311736855,1,1
Virginia,Powhatan,G5101450,5403,8392,28046,3822,23515,50769,75754,64.382745471878,1,1
Virginia,Prince Edward,G5101470,7341,11844,23368,7756,14796,29372,43277,61.9807497467072,1,1
Virginia,Prince George,G5101490,4997,8411,35725,11429,21845,60833,67857,59.4102960408988,1,1
Virginia,Prince William,G5101530,2356,8565,402002,81196,232401,77321,99683,27.5072971395213,1,1
Virginia,Pulaski,G5101550,1589,5416,34872,1757,32250,25121,41854,29.3389955686854,1,1
Virginia,Rappahannock,G5101570,3520,8850,7373,321,6834,47798,65114,39.774011299435,1,1
Virginia,Richmond,G5101590,2466,6856,9254,2804,6001,35234,42412,35.9684947491249,1,1
Virginia,Roanoke,G5101610,2643,8048,92376,4643,83140,49557,60323,32.8404572564612,1,1
