year,month,day,wday,pct_delayed,n_delayed,n_flights,pct_weather_delays,pct_security_delays,is_weekend,time
2008,1,26,6,35.0842418235877,1416,4049,4.12447517905656,0.271672017782168,1,26
2008,1,27,7,52.3371206673378,3639,7002,8.91173950299914,0.314195944015995,1,27
2008,1,28,1,45.2809991079393,2538,5625,3.92888888888889,0.142222222222222,0,28
2008,1,29,2,52.530276816609,2429,4665,8.40300107181136,0.128617363344051,0,29
2008,1,30,3,38.6978942844865,1801,4667,4.54253267623741,0.171416327405185,0,30
2008,1,31,4,60.0711548987411,4390,7352,13.2208922742111,0.272034820457019,0,31
2008,2,1,5,55.183199285076,4940,9002,8.55365474339036,0.499888913574761,0,32
2008,2,2,6,36.7088607594937,1537,4194,3.83881735813066,0.453028135431569,1,33
2008,2,3,7,52.6219288595526,2870,5496,8.04221251819505,0.200145560407569,1,34
2008,2,4,1,55.1107552708834,4130,7614,4.34725505647492,0.591016548463357,0,35
2008,2,5,2,52.4092615769712,3350,6444,10.6610800744879,0.0775915580384854,0,36
2008,2,6,3,51.0252742012399,3210,6393,9.5573283278586,0.156421085562334,0,37
2008,2,7,4,38.7765089722675,2377,6145,3.97070789259561,0.292921074043938,0,38
2008,2,8,5,41.2064062266128,2753,6687,2.72169881860326,0.433677284282937,0,39
2008,2,9,6,31.2107904642409,995,3197,2.75258054426024,0.218955270566156,1,40
2008,2,10,7,46.16238503013,2911,6324,7.49525616698292,0.332068311195446,1,41
2008,2,11,1,45.7012040020349,2695,5924,6.70155300472654,0.185685347738015,0,42
2008,2,12,2,62.7185314685315,4305,6925,15.7400722021661,0.129963898916968,0,43
2008,2,13,3,52.439483255989,4181,8048,8.00198807157058,0.211232604373757,0,44
2008,2,14,4,39.3028681213119,2864,7305,2.09445585215606,0.301163586584531,0,45
2008,2,15,5,38.442144373673,2897,7549,2.67585110610677,0.450390780235793,0,46
2008,2,16,6,39.7510373443983,1916,4863,10.5490438001234,0.493522516964837,1,47
2008,2,17,7,49.9095840867993,3312,6667,6.25468726563672,0.434978251087446,1,48
2008,2,18,1,52.1098300249614,4384,8436,4.22000948316738,0.213371266002845,0,49
2008,2,19,2,39.7633327929973,2453,6176,2.08873056994819,0.38860103626943,0,50
2008,2,20,3,42.1632793661729,2448,5825,7.55364806866953,0.171673819742489,0,51
2008,2,21,4,48.5062893081761,3702,7662,7.92221352127382,0.221874184286087,0,52
2008,2,22,5,57.8445301400447,5700,9890,12.1739130434783,0.455005055611729,0,53
2008,2,23,6,40.6633269994818,2354,5802,3.74008962426749,0.413650465356774,1,54
2008,2,24,7,37.8247734138973,2504,6632,2.62364294330519,0.663449939686369,1,55
2008,2,25,1,42.6161042432342,2551,6013,5.75419923499085,0.199567603525694,0,56
2008,2,26,2,61.3886650550631,4571,7470,10.2543507362784,0.133868808567604,0,57
2008,2,27,3,34.5559845559846,1790,5182,2.85604013894249,0.347356233114628,0,58
2008,2,28,4,31.236442516269,1440,4627,1.79381888912903,0.280959585044305,0,59
2008,2,29,5,41.5386803185438,2921,7042,2.215279750071,0.355012780460097,0,60
2008,3,1,6,30.8308537422751,1347,4375,1.78285714285714,0.64,1,61
2008,3,2,7,40.7778951073566,2317,5705,3.99649430324277,0.56091148115688,1,62
2008,3,3,1,50.6287843502562,3261,6460,10.2476780185759,0.232198142414861,0,63
2008,3,4,2,53.7374065648359,3307,6200,7.90322580645161,0.290322580645161,0,64
2008,3,5,3,41.513837945982,2490,6004,4.3471019320453,0.216522318454364,0,65
2008,3,6,4,39.3732970027248,2023,5155,7.85645004849661,0.2909796314258,0,66
2008,3,7,5,53.8588754134509,4885,9121,8.58458502357198,0.4933669553777,0,67
2008,3,8,6,59.5666892349357,4399,7474,10.5833556328606,0.602087235750602,1,68
2008,3,9,7,42.4249968878377,3408,8040,3.64427860696517,0.373134328358209,1,69
2008,3,10,1,37.982900569981,2399,6329,5.59330067941223,0.237004266076789,0,70
2008,3,11,2,35.6624758220503,1475,4162,6.46323882748679,0.240269101393561,0,71
2008,3,12,3,37.4064333400769,1849,4962,1.22934300685208,0.382910116888352,0,72
2008,3,13,4,29.2831336756037,1540,5268,0.930144267274108,0.398633257403189,0,73
2008,3,14,5,36.3406763013891,2590,7148,3.30162283156128,0.377728035814214,0,74
2008,3,15,6,47.0342643247913,3267,6978,7.32301519059902,1.13212955001433,1,75
2008,3,16,7,38.5472496473907,2733,7108,2.23691615081598,0.647158131682611,1,76
2008,3,17,1,34.3536899530232,2267,6613,2.38923332829276,0.332678058369878,0,77
2008,3,18,2,49.900899527367,3273,6642,7.45257452574526,0.22583559168925,0,78
2008,3,19,3,54.3147751605996,5073,9375,7.424,0.362666666666667,0,79
2008,3,20,4,41.8267998975147,3265,7818,2.62215400358148,0.34535686876439,0,80
2008,3,21,5,47.2868217054264,3416,7257,7.57888934821552,0.413393964448119,0,81
2008,3,22,6,37.0274277242402,1998,5405,4.2368177613321,0.795559666975023,1,82
2008,3,23,7,31.960531960532,1490,4668,1.67095115681234,0.492716366752357,1,83
