Year,County,BLM,USFS,State,County and Municipal,Industry,NIP,Native American,Total Of Volume,Total Private,Total Public
2018,JOSEPHINE,1262,0,1645,12220,8890,9628,0,33645,18518,15127
2018,KLAMATH,30086,37484,15612,0,41765,6015,0,130962,47780,83182
2018,LAKE,0,15484,0,0,16961,4677,0,37122,21638,15484
2018,LANE,34574,60514,13869,3437,366698,79926,0,559018,446624,112394
2018,LINCOLN,0,27490,14522,11,122608,19305,2453,186389,144366,42023
2018,LINN,13592,8812,12107,63,244402,35964,0,314940,280366,34574
2018,MALHEUR,0,0,0,0,0,0,0,0,0,0
2018,MARION,324,5771,14475,0,30398,28047,0,79015,58445,20570
2018,MORROW,0,0,0,0,0,5585,0,5585,5585,0
2018,MULTNOMAH,0,554,1,0,8892,5270,0,14717,14162,555
2018,POLK,10531,0,0,0,101016,14887,0,126434,115903,10531
2018,SHERMAN,0,0,0,0,0,0,0,0,0,0
2018,TILLAMOOK,140,5611,99272,1179,79490,6439,2892,195023,88821,106202
